code,term
304653001,Ability to use visuospatial reasoning (observable entity)
304659002,Ability to use arithmetic reasoning (observable entity)
304663009,Ability to use verbal reasoning (observable entity)
363878000,Ability to think abstractly (observable entity)
271880003,On examination - specified examination finding (finding)
248025009,Hoarding (finding)
289136006,Finding of eating pattern (finding)
364645004,Eating feeding / drinking observable (observable entity)
25786006,Abnormal behavior (finding)
118220003,Female sexual finding (finding)
73744004,Hypersexuality state (finding)
118219009,Male sexual finding (finding)
112082005,Inappropriate behavior (finding)
283884005,Digit span performance (observable entity)
165279002,Response to memory test for own age (observable entity)
165282007,Response to memory test for present time (observable entity)
165285009,Response to memory test for present place (observable entity)
165288006,Response to memory test for present year (observable entity)
165291006,Response to memory test for own date of birth (observable entity)
165294003,Response to memory test for present month (observable entity)
165297005,Response to memory test for important event (observable entity)
165300000,Response to memory test for important person (observable entity)
165303003,Response to memory test for counting down (observable entity)
165306006,Response to memory test for address recall (observable entity)
247589005,Short-term memory performance (observable entity)
283885006,Verbal short-term memory performance (observable entity)
283886007,Ability to recall random address at five minutes (observable entity)
283887003,Ability to recall five digit number at five minutes (observable entity)
283888008,Visual short-term memory performance (observable entity)
283889000,Ability to reproduce geometric figure at five minutes (observable entity)
247586003,Long-term memory performance (observable entity)
283890009,Semantic memory performance (observable entity)
283891008,Ability to remember own date of birth (observable entity)
283893006,Ability to remember own age (observable entity)
283894000,Ability to remember day of the week (observable entity)
285204003,Ability to remember today's date (observable entity)
283895004,Ability to remember month of year (observable entity)
285195003,Ability to remember current year (observable entity)
283896003,Ability to remember name of reigning monarch (observable entity)
283897007,Ability to remember name of current prime minister (observable entity)
283991009,Ability to remember objects (observable entity)
285226002,Ability to remember faces (observable entity)
283898002,Ability to remember sounds (observable entity)
283899005,Ability to remember motor skills (observable entity)
283900000,Ability to remember new motor skills (observable entity)
283901001,Ability to remember old motor skills (observable entity)
283993007,Use of memory retrieval aids (observable entity)
283904009,Memory form (observable entity)
283994001,Semantic memory (observable entity)
283914000,Verbal memory observable (observable entity)
225035009,Memories (observable entity)
267070008,Nervous system symptoms (finding)
29164008,Disturbance in speech (finding)
363918005,Speech observable (observable entity)
248094001,Heightened erotic interest (finding)
281133001,Amount of thought (observable entity)
424241004,Homicidal behavior (finding)
247659005,Use of imagination (observable entity)
405070001,Self-control behavior: suicide (observable entity)
247625006,Flow of thought (observable entity)
246654007,Multiple visual images (finding)
246646005,Quality of visual image (observable entity)
289198005,Finding of use and content of language (finding)
363915008,Speech and language observable (observable entity)
106133000,Language finding (finding)
285258007,Ability to resist thoughts (observable entity)
56895003,Abnormal compulsion (finding)
304641000,Ability to reason (observable entity)
304645009,Logical sequencing ability (observable entity)
285627000,Ability to tell the time (observable entity)
309250007,Ability to read (observable entity)
247581008,Problem solving (observable entity)
395659009,Ability to comprehend (observable entity)
405106009,Knowledge level: diet (observable entity)
405107000,Knowledge level: disease process (observable entity)
422979000,Medication regimen behavior finding (finding)
285033005,Ability to manage medication (observable entity)
704376002,Knowledge level about peritoneal dialysis (observable entity)
422900000,Knowledge level: family planning (observable entity)
422710000,Knowledge level: preconception health practices (observable entity)
704382004,Knowledge level of child development (observable entity)
704378001,Knowledge level of sexual behavior (observable entity)
704380007,Knowledge level of oral hygiene (observable entity)
405104007,Knowledge level: breastfeeding (observable entity)
704679004,Knowledge level of behavior change process (observable entity)
405112004,Knowledge level: medication (observable entity)
705085001,Knowledge level of patient controlled analgesia (observable entity)
704490000,Knowledge level of traditional therapy (observable entity)
704399003,Knowledge level of community services (observable entity)
440442006,Knowledge level about pain management (observable entity)
405131005,Knowledge level: fall prevention (observable entity)
704401009,Knowledge level of physical therapy (observable entity)
704405000,Knowledge level of symptom (observable entity)
704445009,Knowledge level of exercise (observable entity)
713399000,Knowledge level of travel health (observable entity)
405129001,Knowledge level: parenting (observable entity)
405123000,Knowledge level: infant care (observable entity)
405121003,Knowledge level: labor and delivery (observable entity)
405114003,Knowledge level: pregnancy (observable entity)
102957003,Neurological finding (finding)
418907009,Ability to verbalize understanding (observable entity)
419244008,Ability to verbalize: medication characteristics (observable entity)
418159002,Ability to verbalize: medication administration routine (observable entity)
419970001,Ability to verbalize: reduction of medication compliance barriers plan (observable entity)
365922003,Finding related to ability to plan (finding)
286574007,Ability to plan (observable entity)
304649003,Ability to use decision-making strategies (observable entity)
304686002,Ability to make considered choices (observable entity)
397608007,Finding related to care planning (finding)
397688009,Finding related to participation with treatment (finding)
106129007,Motor function behavior finding (finding)
284592002,Vocal and verbal behavior finding (finding)
